nazev_kraje,rok,lidi
Ústecký kraj,2020,"817,004 "
Ústecký kraj,2021,"798,898 "
Ústecký kraj,2022,"812,337 "
Ústecký kraj,2023,"811,169 "
Ústecký kraj,2024,"808,356 "
Česká republika,2015,"10,553,843 "
Česká republika,2016,"10,578,820 "
Česká republika,2017,"10,610,055 "
Česká republika,2018,"10,649,800 "
Česká republika,2019,"10,693,939 "
Česká republika,2020,"10,701,777 "
Česká republika,2021,"10,516,707 "
Česká republika,2022,"10,827,529 "
Česká republika,2023,"10,900,555 "
Česká republika,2024,"10,909,500 "
